구분1,구분2,신규공개자 인원,신규공개자 체납세액 (억원)
지역별,서울,1274,11274
지역별,인천,492,4160
지역별,경기,2326,16416
지역별,강원,125,762
지역별,대전,149,918
지역별,충북,166,932
지역별,충남,311,1778
지역별,세종,38,223
지역별,광주,159,1354
지역별,전북,176,1011
지역별,전남,174,1361
지역별,대구,214,1186
지역별,경북,280,3491
지역별,부산,376,4203
지역별,울산,167,980
지역별,경남,429,2461
지역별,제주,160,1102
체납액 규모별,2억 이상,4734,16100
체납액 규모별,5억 이상,1463,9899
체납액 규모별,10억 이상,740,13311
체납액 규모별,50억 이상,41,2784
체납액 규모별,100억 이상,38,11518
체납자 유형별,법인,2314,15254
체납자 유형별,개인 30세 미만,48,219
체납자 유형별,개인 30세 이상,371,6744
체납자 유형별,개인 40세 이상,1140,7833
체납자 유형별,개인 50세 이상,1581,12012
체납자 유형별,개인 60세 이상,1552,11495
체납자 유형별,개인 기타,10,55
